clue_id,park,land,anchor_name,status,difficulty,clue_type,player_clue,canonical_answer,proof_type,accepted_aliases,mainline_default,requires_queue,requires_show,requires_character,requires_ride,requires_purchase,requires_audio,requires_video,ops_notes
MN-01,universal-studios,minion-land,Villain-Con Minion Blast,ready-core,easy,landmark,"Before the yellow chaos fully begins, find the convention where villainy is a sport and blasters do the talking.",Illumination's Villain-Con Minion Blast,location-photo,,yes,no,no,no,no,no,no,no,Best opener in Minion Land.
MN-02,universal-studios,minion-land,Rosie the Robot,ready-core,medium,hidden-detail,"Hidden in festive trim near the evil gift-shop side of the land is a robot maid from a classic animated future. Name her.",Rosie the Robot,photo,,yes,no,no,no,no,no,no,no,Strong hidden-detail clue.
MN-03,universal-studios,minion-land,Gru's family tree,ready-expert,medium,queue-detail,"In the queue where humans are transformed into helpers, find the family roots of the world's favorite supervillain.",Gru's family tree,photo-or-written-answer,,no,yes,no,no,no,no,no,no,Queue-dependent and better for expert mode.
MN-04,universal-studios,minion-land,Banana tree,ready-core,easy,environmental,"Among all the fake mayhem, locate the real tropical plant the Minions would defend with their lives.",Banana tree,photo,,yes,no,no,no,no,no,no,no,Simple visual payoff.
MN-05,universal-studios,minion-land,Pop-A-Nana,ready-core,easy,venue-anchor,"Finish with the snack stand that turned one fruit into a full identity. Name the stand.",Pop-A-Nana,photo-or-receipt,,yes,no,no,no,no,yes,no,no,Allow photo so spend is not mandatory.
DA-01,universal-studios,wizarding-world,London phone box,ready-core,easy,interactive-anchor,"Step into the red booth on the London waterfront and dial the five digits that unlock the hidden government line. Who are you connected to?",The Ministry of Magic,written-answer,Ministry message,yes,no,no,no,no,no,no,yes,Use as the signature London-to-Diagon opener.
DA-02,universal-studios,wizarding-world,12 Grimmauld Place,ready-core,easy,hidden-visual,"At number 12, the Black family's hidden servant sometimes peeks from the curtains. Who are you looking for?",Kreacher,photo,,yes,no,no,no,no,no,no,no,Strong fixed visual clue.
DA-03,universal-studios,wizarding-world,Vanishing Cabinet,ready-core,medium,audio-detail,"In the darker corner of the alley, find the cabinet that is never quite empty. What living thing can be heard inside?",Bird chirping,video-or-written-answer,Bird;A bird,yes,no,no,no,no,no,yes,yes,Best when teams can capture audio.
DA-04,universal-studios,wizarding-world,Weasleys' Wizard Wheezes ceiling,ready-core,easy,interior-detail,"Inside the twins' joke shop, the ceiling never behaves like an ordinary ceiling. What is overhead?",Magical fireworks,written-answer-or-photo,Fireworks;Skylight fireworks,yes,no,no,no,no,no,no,no,Fast and recognizable interior answer.
DA-05,universal-studios,wizarding-world,Knockturn Alley spell map,ready-core,medium,mechanic,"Some dark-magic spell locations are not meant to reveal themselves in normal light. What does your spell map show under the blacklights in Knockturn Alley?",Hidden spell locations,photo-or-written-answer,Dark-magic marks,yes,no,no,no,no,no,no,no,Very native-to-land mechanic clue.
DA-06,universal-studios,wizarding-world,Magical Menagerie snake,ready-core,easy,interactive-anchor,"Outside the creature shop, try speaking the language of serpents. Which animal are you talking to?",Snake at Magical Menagerie,video-or-photo,Snake,yes,no,no,no,no,no,no,yes,Easy to verify and on-theme.
DA-07,universal-studios,wizarding-world,Daily Prophet entrance,ready-expert,medium,audio-detail,"The wizarding newspaper is not silent. Stand by the entrance and listen. What kind of activity can you hear?",Newsroom activity,written-answer,Workers preparing the news;Printing sounds,no,no,no,no,no,no,yes,no,Audio clue with looser answer validation.
DA-08,universal-studios,wizarding-world,Leaky Cauldron sign,ready-core,easy,timed-effect,"Find the inn sign where a witch stirs above your head. What surprise do guests get when they stand beneath it?",Water splash,written-answer-or-video,Water drip;Splash;Drip,yes,no,no,no,no,no,no,yes,Good family-friendly discovery moment.
DA-09,universal-studios,wizarding-world,Magical Menagerie ceiling creatures,ready-expert,hard,deep-detail,"Look up inside Magical Menagerie and name the two magical creatures hidden overhead.",Kneazle and Crumple-Horned Snorkack,written-answer,Kneazle;Crumple-Horned Snorkack,no,no,no,no,no,no,no,no,Deep-fan detail better for expert mode.
DA-10,universal-studios,wizarding-world,Gringotts dragon,ready-core,easy,finale-landmark,"End the route at the bank guarded from above. What creature crowns the skyline over Gringotts?",Dragon atop Gringotts,photo,Gringotts dragon,yes,no,no,no,no,no,no,no,Reliable finale anchor.
DA-11,universal-studios,wizarding-world,Jaws tribute in London/Diagon,bonus,hard,easter-egg,"The old shark attraction still haunts this street. Record one clear Jaws tribute anywhere in London or Diagon Alley.",Any verified Jaws tribute,photo-plus-note,,no,no,no,no,no,no,no,no,Open-response bonus only.
DA-12,universal-studios,wizarding-world,Gringotts Money Exchange goblin,variable,medium,cast-interaction,"Ask the goblin at Gringotts Money Exchange a question. What answer did you get?",Captured goblin response,video-audio-or-written-answer,,no,no,no,yes,no,no,yes,yes,Keep out of critical path because replies vary.
DW-01,universal-studios,dreamworks-land,King Harold's Swamp Symphony,ready-core,easy,activity-anchor,"Find the royal frog orchestra and make the swamp sing. What attraction are you at?",King Harold's Swamp Symphony,photo-or-short-video,,yes,no,no,no,no,no,no,yes,Strong activity-based anchor.
DW-02,universal-studios,dreamworks-land,Mama Luna Feline Fiesta,ready-core,easy,experience-anchor,"Track down the feline party where the kittens come alive on screen. Name the experience.",Mama Luna Feline Fiesta,photo-or-video,,yes,no,no,no,no,no,no,yes,Great sensory clue for kids.
DW-03,universal-studios,dreamworks-land,Po Live!,ready-core,easy,show-anchor,"Find the panda who somehow turned babysitting into a live performance. What show are you looking for?",Po Live!,show-sign-photo,,yes,no,yes,no,no,no,no,no,Use signage proof rather than show-content proof.
DW-04,universal-studios,dreamworks-land,Trolls Trollercoaster,ready-core,easy,ride-anchor,"Take the family coaster through the colorful world of the Trolls. Name the ride.",Trolls Trollercoaster,exterior-photo-or-ride-proof,,yes,no,no,no,yes,no,no,no,Exterior photo keeps it lower friction.
DW-05,universal-studios,dreamworks-land,Poppy's Playground,ready-core,easy,environmental,"Find the giant tree in the Trolls area and capture proof beneath it. What play area does it belong to?",Poppy's Playground,photo,,yes,no,no,no,no,no,no,no,Reliable environmental anchor.
DW-06,universal-studios,dreamworks-land,Shrek's Swamp Meet,variable,medium,character-interaction,"Meet a resident of the swamp and record what they said to your team.",Any valid interaction at Shrek's Swamp Meet,photo-video-plus-note,,no,no,no,yes,no,no,no,yes,Performer-dependent and should stay variable.
HW-01,universal-studios,hollywood,Back to the Future DeLorean,ready-core,easy,prop-anchor,"Find the time machine parked where movie memories never really leave. What car are you posing with?",The DeLorean,photo,DeLorean from Back to the Future,yes,no,no,no,no,no,no,no,One of the cleanest Hollywood prompts.
HW-02,universal-studios,hollywood,Gary the Snail,ready-core,easy,hidden-object,"Inside the most absorbent store in the park hides Bikini Bottom's favorite pet. Who are you trying to find?",Gary the Snail,photo,Gary,yes,no,no,no,no,no,no,no,Excellent hidden-object clue.
HW-03,universal-studios,hollywood,E.T. prop,ready-core,easy,character-prop,"Locate your glowing extraterrestrial friend in the area tied to his classic ride. Who is the clue pointing to?",E.T.,photo,ET,yes,no,no,no,no,no,no,no,Simple prop proof.
HW-04,universal-studios,hollywood,Animal Actors on Location!,variable,easy,show-anchor,"Go where trained animals steal the scene instead of the actors. Name the show.",Animal Actors on Location!,marquee-photo,,no,no,yes,no,no,no,no,no,Use only if signage or wait is practical that day.
HW-05,universal-studios,hollywood,Horror Make-Up Show,ready-core,easy,show-anchor,"Find the show that turns horror effects into comedy and backstage craft into the main event.",Universal Orlando's Horror Make-Up Show,marquee-photo,Horror Make-Up Show,yes,no,yes,no,no,no,no,no,Strong named-show anchor from the current map.
